Plate	Position	Well	Row	Column	Target	Group_Target	siRNA_target_A	siRNA_target_B
Plate_3	G,10	7,10	7	10	Control_1|Control_2	Control	1	1
Plate_3	G,11	7,11	7	11	Control_1|Control_2	Control	1	1
Plate_4	B,2	2,2	2	2	INTS6	INTS6_INTS6L	1	NA
Plate_4	B,3	2,3	2	3	INTS6	INTS6_INTS6L	2	NA
Plate_4	B,4	2,4	2	4	INTS6	INTS6_INTS6L	3	NA
Plate_4	B,5	2,5	2	5	INTS6	INTS6_INTS6L	4	NA
Plate_4	B,6	2,6	2	6	INTS6L	INTS6_INTS6L	NA	1
Plate_4	B,7	2,7	2	7	INTS6L	INTS6_INTS6L	NA	2
Plate_4	B,8	2,8	2	8	INTS6L	INTS6_INTS6L	NA	3
Plate_4	B,9	2,9	2	9	INTS6L	INTS6_INTS6L	NA	4
Plate_4	B,10	2,10	2	10	Control_1	Control	1	NA
Plate_4	B,11	2,11	2	11	Control_2	Control	NA	1
Plate_4	C,2	3,2	3	2	INTS6|INTS6L	INTS6_INTS6L	1	4
Plate_4	C,3	3,3	3	3	INTS6|INTS6L	INTS6_INTS6L	1	3
Plate_4	C,4	3,4	3	4	INTS6|INTS6L	INTS6_INTS6L	2	2
Plate_4	C,5	3,5	3	5	INTS6|INTS6L	INTS6_INTS6L	2	1
Plate_4	C,6	3,6	3	6	INTS6|INTS6L	INTS6_INTS6L	3	4
Plate_4	C,7	3,7	3	7	INTS6|INTS6L	INTS6_INTS6L	3	3
Plate_4	C,8	3,8	3	8	INTS6|INTS6L	INTS6_INTS6L	4	2
Plate_4	C,9	3,9	3	9	INTS6|INTS6L	INTS6_INTS6L	4	1
Plate_4	C,10	3,10	3	10	Control_1	Control	1	NA
Plate_4	C,11	3,11	3	11	Control_2	Control	NA	1
Plate_4	D,2	4,2	4	2	TTC7A	TTC7A_TTC7B	1	NA
Plate_4	D,3	4,3	4	3	TTC7A	TTC7A_TTC7B	2	NA
Plate_4	D,4	4,4	4	4	TTC7A	TTC7A_TTC7B	3	NA
Plate_4	D,5	4,5	4	5	TTC7A	TTC7A_TTC7B	4	NA
Plate_4	D,6	4,6	4	6	TTC7B	TTC7A_TTC7B	NA	1
Plate_4	D,7	4,7	4	7	TTC7B	TTC7A_TTC7B	NA	2
Plate_4	D,8	4,8	4	8	TTC7B	TTC7A_TTC7B	NA	3
Plate_4	D,9	4,9	4	9	TTC7B	TTC7A_TTC7B	NA	4
Plate_4	D,10	4,10	4	10	Control_1	Control	1	NA
Plate_4	D,11	4,11	4	11	Control_2	Control	NA	1
Plate_4	E,2	5,2	5	2	TTC7A|TTC7B	TTC7A_TTC7B	1	4
Plate_4	E,3	5,3	5	3	TTC7A|TTC7B	TTC7A_TTC7B	1	3
Plate_4	E,4	5,4	5	4	TTC7A|TTC7B	TTC7A_TTC7B	2	2
Plate_4	E,5	5,5	5	5	TTC7A|TTC7B	TTC7A_TTC7B	2	1
Plate_4	E,6	5,6	5	6	TTC7A|TTC7B	TTC7A_TTC7B	3	4
Plate_4	E,7	5,7	5	7	TTC7A|TTC7B	TTC7A_TTC7B	3	3
Plate_4	E,8	5,8	5	8	TTC7A|TTC7B	TTC7A_TTC7B	4	2
Plate_4	E,9	5,9	5	9	TTC7A|TTC7B	TTC7A_TTC7B	4	1
Plate_4	E,10	5,10	5	10	Control_1	Control	1	NA
Plate_4	E,11	5,11	5	11	Control_2	Control	NA	1
Plate_4	F,2	6,2	6	2	Parental	Control	0	NA
Plate_4	F,3	6,3	6	3	Parental	Control	0	NA
Plate_4	F,4	6,4	6	4	Parental	Control	0	NA
Plate_4	F,5	6,5	6	5	Parental	Control	0	NA
Plate_4	F,6	6,6	6	6	BLANK	BLANK	NA	NA
Plate_4	F,7	6,7	6	7	BLANK	BLANK	NA	NA
